20240520-00:01:44 - 下載中藥處方資料,共<534>筆...,68.564ms
20240520-00:01:45 - 從資料庫讀取處方資料,共<0>筆...,1184.769ms
20240520-00:01:45 - 共新增<534>筆處方,25.219ms 
20240520-00:03:01 - 下載中藥處方資料,共<534>筆...,41.872ms
20240520-00:03:02 - 從資料庫讀取處方資料,共<0>筆...,526.002ms
20240520-00:03:02 - 共新增<534>筆處方,30.224ms 
20240520-00:03:07 - 下載中藥處方資料,共<534>筆...,25.536ms
20240520-00:03:07 - 從資料庫讀取處方資料,共<0>筆...,40.227ms
20240520-00:03:07 - 共新增<534>筆處方,23.836ms 
20240520-00:03:12 - 下載中藥處方資料,共<534>筆...,31.133ms
20240520-00:03:12 - 從資料庫讀取處方資料,共<0>筆...,39.590ms
20240520-00:03:12 - 共新增<534>筆處方,19.842ms 
20240520-00:03:17 - 下載中藥處方資料,共<534>筆...,16.857ms
20240520-00:03:17 - 從資料庫讀取處方資料,共<0>筆...,37.231ms
20240520-00:03:48 - 下載中藥處方資料,共<534>筆...,46.045ms
20240520-00:03:49 - 從資料庫讀取處方資料,共<0>筆...,1353.098ms
20240520-00:03:50 - 共新增<534>筆處方,1006.750ms 
20240520-00:03:55 - 下載中藥處方資料,共<534>筆...,15.913ms
20240520-00:03:56 - 從資料庫讀取處方資料,共<534>筆...,74.686ms
20240520-00:03:56 - 共新增<0>筆處方,14.528ms 
20240520-00:04:01 - 下載中藥處方資料,共<534>筆...,21.151ms
20240520-00:04:01 - 從資料庫讀取處方資料,共<534>筆...,53.210ms
20240520-00:04:01 - 共新增<0>筆處方,17.082ms 
20240520-00:05:16 - 下載中藥處方資料,共<534>筆...,53.762ms
20240520-00:05:17 - 從資料庫讀取處方資料,共<0>筆...,522.138ms
20240520-00:05:18 - 共新增<534>筆處方,1033.055ms 
20240520-00:05:23 - 下載中藥處方資料,共<534>筆...,11.912ms
20240520-00:05:23 - 從資料庫讀取處方資料,共<534>筆...,61.272ms
20240520-00:05:23 - 共新增<0>筆處方,15.485ms 
20240520-00:05:28 - 下載中藥處方資料,共<534>筆...,25.505ms
20240520-00:05:28 - 從資料庫讀取處方資料,共<534>筆...,54.585ms
20240520-00:05:28 - 共新增<0>筆處方,16.959ms 
20240520-00:05:33 - 下載中藥處方資料,共<534>筆...,9.482ms
20240520-00:05:33 - 從資料庫讀取處方資料,共<534>筆...,53.220ms
20240520-00:05:33 - 共新增<0>筆處方,15.046ms 
20240520-00:05:38 - 下載中藥處方資料,共<534>筆...,16.898ms
20240520-00:05:38 - 從資料庫讀取處方資料,共<534>筆...,57.425ms
20240520-00:05:38 - 共新增<0>筆處方,15.001ms 
20240520-00:05:43 - 下載中藥處方資料,共<534>筆...,12.530ms
20240520-00:05:43 - 從資料庫讀取處方資料,共<534>筆...,55.035ms
20240520-00:05:43 - 共新增<0>筆處方,15.122ms 
20240520-00:05:48 - 下載中藥處方資料,共<534>筆...,25.403ms
20240520-00:05:49 - 從資料庫讀取處方資料,共<534>筆...,57.910ms
20240520-00:05:49 - 共新增<0>筆處方,15.474ms 
20240520-00:05:54 - 下載中藥處方資料,共<534>筆...,18.924ms
20240520-00:05:54 - 從資料庫讀取處方資料,共<534>筆...,53.031ms
20240520-00:05:54 - 共新增<0>筆處方,14.881ms 
20240520-00:08:06 - 下載中藥處方資料,共<534>筆...,50.874ms
20240520-00:08:06 - 從資料庫讀取處方資料,共<534>筆...,284.180ms
20240520-00:08:06 - 共新增<0>筆處方,16.530ms 
20240520-00:08:11 - 下載中藥處方資料,共<534>筆...,26.349ms
20240520-00:08:12 - 從資料庫讀取處方資料,共<534>筆...,54.706ms
20240520-00:08:12 - 共新增<0>筆處方,15.146ms 
20240520-00:08:17 - 下載中藥處方資料,共<534>筆...,29.085ms
20240520-00:08:17 - 從資料庫讀取處方資料,共<534>筆...,53.373ms
20240520-00:08:17 - 共新增<0>筆處方,15.456ms 
20240520-00:08:22 - 下載中藥處方資料,共<534>筆...,23.005ms
20240520-00:08:22 - 從資料庫讀取處方資料,共<0>筆...,304.609ms
20240520-00:08:23 - 共新增<534>筆處方,1090.906ms 
20240520-00:08:28 - 下載中藥處方資料,共<534>筆...,27.195ms
20240520-00:08:28 - 從資料庫讀取處方資料,共<534>筆...,52.788ms
20240520-00:08:28 - 共新增<0>筆處方,15.156ms 
20240520-00:08:33 - 下載中藥處方資料,共<534>筆...,31.862ms
20240520-00:08:33 - 從資料庫讀取處方資料,共<534>筆...,55.025ms
20240520-00:08:33 - 共新增<0>筆處方,14.929ms 
20240520-00:08:38 - 下載中藥處方資料,共<534>筆...,14.184ms
20240520-00:08:38 - 從資料庫讀取處方資料,共<534>筆...,53.704ms
20240520-00:08:38 - 共新增<0>筆處方,18.273ms 
20240520-00:08:44 - 下載中藥處方資料,共<534>筆...,26.270ms
20240520-00:08:44 - 從資料庫讀取處方資料,共<534>筆...,59.194ms
20240520-00:08:44 - 共新增<0>筆處方,15.988ms 
20240520-00:08:49 - 下載中藥處方資料,共<534>筆...,26.610ms
20240520-00:08:49 - 從資料庫讀取處方資料,共<534>筆...,58.671ms
20240520-00:08:49 - 共新增<0>筆處方,16.688ms 
20240520-00:08:54 - 下載中藥處方資料,共<534>筆...,8.456ms
20240520-00:08:54 - 從資料庫讀取處方資料,共<534>筆...,53.120ms
20240520-00:08:54 - 共新增<0>筆處方,15.106ms 
20240520-00:08:59 - 下載中藥處方資料,共<534>筆...,8.314ms
20240520-00:08:59 - 從資料庫讀取處方資料,共<534>筆...,57.139ms
20240520-00:08:59 - 共新增<0>筆處方,14.978ms 
20240520-00:09:04 - 下載中藥處方資料,共<534>筆...,9.710ms
20240520-00:09:04 - 從資料庫讀取處方資料,共<534>筆...,54.654ms
20240520-00:09:04 - 共新增<0>筆處方,15.346ms 
20240520-00:09:09 - 下載中藥處方資料,共<534>筆...,10.529ms
20240520-00:09:09 - 從資料庫讀取處方資料,共<534>筆...,52.601ms
20240520-00:09:09 - 共新增<0>筆處方,14.312ms 
20240520-00:09:14 - 下載中藥處方資料,共<534>筆...,8.100ms
20240520-00:09:14 - 從資料庫讀取處方資料,共<534>筆...,54.769ms
20240520-00:09:14 - 共新增<0>筆處方,15.340ms 
20240520-00:09:19 - 下載中藥處方資料,共<534>筆...,7.714ms
20240520-00:09:19 - 從資料庫讀取處方資料,共<534>筆...,55.099ms
20240520-00:09:19 - 共新增<0>筆處方,16.132ms 
20240520-00:09:24 - 下載中藥處方資料,共<534>筆...,15.938ms
20240520-00:09:25 - 從資料庫讀取處方資料,共<534>筆...,60.947ms
20240520-00:09:25 - 共新增<0>筆處方,16.298ms 
20240520-00:09:30 - 下載中藥處方資料,共<534>筆...,26.740ms
20240520-00:09:30 - 從資料庫讀取處方資料,共<534>筆...,57.505ms
20240520-00:09:30 - 共新增<0>筆處方,15.553ms 
20240520-00:09:35 - 下載中藥處方資料,共<534>筆...,30.127ms
20240520-00:09:35 - 從資料庫讀取處方資料,共<534>筆...,52.265ms
20240520-00:09:35 - 共新增<0>筆處方,15.517ms 
20240520-00:09:40 - 下載中藥處方資料,共<534>筆...,31.368ms
20240520-00:09:40 - 從資料庫讀取處方資料,共<534>筆...,53.406ms
20240520-00:09:40 - 共新增<0>筆處方,15.648ms 
20240520-00:09:45 - 下載中藥處方資料,共<534>筆...,12.991ms
20240520-00:09:45 - 從資料庫讀取處方資料,共<534>筆...,56.173ms
20240520-00:09:45 - 共新增<0>筆處方,15.533ms 
20240520-00:09:50 - 下載中藥處方資料,共<534>筆...,7.811ms
20240520-00:09:50 - 從資料庫讀取處方資料,共<534>筆...,53.987ms
20240520-00:09:50 - 共新增<0>筆處方,18.437ms 
20240520-00:09:55 - 下載中藥處方資料,共<534>筆...,7.966ms
20240520-00:09:55 - 從資料庫讀取處方資料,共<534>筆...,53.161ms
20240520-00:09:55 - 共新增<0>筆處方,15.431ms 
20240520-00:10:00 - 下載中藥處方資料,共<534>筆...,29.228ms
20240520-00:10:00 - 從資料庫讀取處方資料,共<534>筆...,53.462ms
20240520-00:10:00 - 共新增<0>筆處方,15.496ms 
20240520-00:10:06 - 下載中藥處方資料,共<534>筆...,25.336ms
20240520-00:10:06 - 從資料庫讀取處方資料,共<534>筆...,57.650ms
20240520-00:10:06 - 共新增<0>筆處方,15.371ms 
20240520-00:11:54 - 下載中藥處方資料,共<534>筆...,53.275ms
20240520-00:11:55 - 從資料庫讀取處方資料,共<534>筆...,1399.907ms
20240520-00:11:55 - 共新增<0>筆處方,15.788ms 
20240520-00:12:00 - 下載中藥處方資料,共<534>筆...,14.785ms
20240520-00:12:00 - 從資料庫讀取處方資料,共<534>筆...,65.617ms
20240520-00:12:00 - 共新增<0>筆處方,14.816ms 
20240520-00:12:05 - 下載中藥處方資料,共<534>筆...,26.627ms
20240520-00:12:05 - 從資料庫讀取處方資料,共<534>筆...,53.822ms
20240520-00:12:06 - 共新增<0>筆處方,16.341ms 
20240520-00:12:11 - 下載中藥處方資料,共<534>筆...,26.847ms
20240520-00:12:11 - 從資料庫讀取處方資料,共<534>筆...,52.303ms
20240520-00:12:11 - 共新增<0>筆處方,14.514ms 
20240520-00:12:16 - 下載中藥處方資料,共<534>筆...,18.113ms
20240520-00:12:16 - 從資料庫讀取處方資料,共<534>筆...,53.698ms
20240520-00:12:16 - 共新增<0>筆處方,14.972ms 
20240520-00:13:32 - 下載中藥處方資料,共<534>筆...,41.362ms
20240520-00:13:33 - 從資料庫讀取處方資料,共<0>筆...,544.775ms
20240520-00:13:34 - 共新增<534>筆處方,1042.411ms 
20240520-00:13:39 - 下載中藥處方資料,共<534>筆...,17.676ms
20240520-00:13:39 - 從資料庫讀取處方資料,共<534>筆...,56.858ms
20240520-00:13:39 - 共新增<0>筆處方,15.533ms 
20240520-00:13:44 - 下載中藥處方資料,共<534>筆...,10.693ms
20240520-00:13:44 - 從資料庫讀取處方資料,共<534>筆...,55.824ms
20240520-00:13:44 - 共新增<0>筆處方,14.923ms 
20240520-00:13:49 - 下載中藥處方資料,共<534>筆...,12.090ms
20240520-00:13:49 - 從資料庫讀取處方資料,共<534>筆...,56.355ms
20240520-00:13:49 - 共新增<0>筆處方,14.747ms 
20240520-00:13:54 - 下載中藥處方資料,共<534>筆...,26.726ms
20240520-00:13:54 - 從資料庫讀取處方資料,共<534>筆...,53.573ms
20240520-00:13:54 - 共新增<0>筆處方,18.267ms 
20240520-00:13:59 - 下載中藥處方資料,共<534>筆...,24.224ms
20240520-00:13:59 - 從資料庫讀取處方資料,共<534>筆...,57.461ms
20240520-00:13:59 - 共新增<0>筆處方,16.329ms 
20240520-00:14:04 - 下載中藥處方資料,共<534>筆...,12.706ms
20240520-00:14:04 - 從資料庫讀取處方資料,共<534>筆...,57.194ms
20240520-00:14:04 - 共新增<0>筆處方,15.521ms 
20240520-00:14:09 - 下載中藥處方資料,共<534>筆...,25.885ms
20240520-00:14:09 - 從資料庫讀取處方資料,共<534>筆...,54.299ms
20240520-00:14:09 - 共新增<0>筆處方,14.824ms 
20240520-00:14:15 - 下載中藥處方資料,共<534>筆...,17.025ms
20240520-00:14:15 - 從資料庫讀取處方資料,共<534>筆...,56.302ms
20240520-00:14:15 - 共新增<0>筆處方,15.789ms 
